
Lexeme         Lineno         tokenName                valIfNumber              parentNodeSymbol         IsLeafNode(y/n)          nodeSymbol                    RuleNum             
SQBC           13             SQBC                     ----                     optional                 y                        SQBC                          -1                  
ASSIGNOP       13             ASSIGNOP                 ----                     optional                 y                        ASSIGNOP                      -1                  
----           ----           ----                     ----                     simpleStmt               n                        moduleReuseStmt               38                  
USE            13             USE                      ----                     moduleReuseStmt          y                        USE                           -1                  
MODULE         13             MODULE                   ----                     moduleReuseStmt          y                        MODULE                        -1                  
compute        13             ID                       ----                     moduleReuseStmt          y                        ID                            -1                  
WITH           13             WITH                     ----                     moduleReuseStmt          y                        WITH                          -1                  
PARAMETERS     13             PARAMETERS               ----                     moduleReuseStmt          y                        PARAMETERS                    -1                  
var_1_         13             ID                       ----                     idList                   y                        ID                            -1                  
----           ----           ----                     ----                     moduleReuseStmt          n                        idList                        41                  
COMMA          13             COMMA                    ----                     n3                       y                        COMMA                         -1                  
----           ----           ----                     ----                     idList                   n                        n3                            42                  
var_2_         13             ID                       ----                     n3                       y                        ID                            -1                  
COMMA          13             COMMA                    ----                     n3                       y                        COMMA                         -1                  
----           ----           ----                     ----                     n3                       n                        n3                            42                  
var_34         13             ID                       ----                     n3                       y                        ID                            -1                  
EMPTY          ----           EMPTY                    ----                     n3                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n3                       n                        n3                            43                  
SEMICOL        13             SEMICOL                  ----                     moduleReuseStmt          y                        SEMICOL                       -1                  
----           ----           ----                     ----                     statement                n                        simpleStmt                    36                  
----           ----           ----                     ----                     statements               n                        statement                     25                  
----           ----           ----                     ----                     statements               n                        statements                    22                  
EMPTY          ----           EMPTY                    ----                     statements               y                        EMPTY                         -1                  
----           ----           ----                     ----                     statements               n                        statements                    23                  
END            15             END                      ----                     moduleDef                y                        END                           -1                  
DEF            16             DEF                      ----                     module                   y                        DEF                           -1                  
----           ----           ----                     ----                     otherModules             n                        module                        7                   
MODULE         16             MODULE                   ----                     module                   y                        MODULE                        -1                  
compute        16             ID                       ----                     module                   y                        ID                            -1                  
ENDDEF         16             ENDDEF                   ----                     module                   y                        ENDDEF                        -1                  
TAKES          17             TAKES                    ----                     module                   y                        TAKES                         -1                  
INPUT          17             INPUT                    ----                     module                   y                        INPUT                         -1                  
SQBO           17             SQBO                     ----                     module                   y                        SQBO                          -1                  
a              17             ID                       ----                     input_plist              y                        ID                            -1                  
----           ----           ----                     ----                     module                   n                        input_plist                   10                  
COLON          17             COLON                    ----                     input_plist              y                        COLON                         -1                  
INTEGER        17             INTEGER                  ----                     type                     y                        INTEGER                       -1                  
----           ----           ----                     ----                     dataType                 n                        type                          16                  
