
Lexeme         LINENO         tokenName                valIfNumber              parentNodeSymbol         IsLeafNode(y/n)          nodeSymbol          
COLON          22             COLON                    ----                     output_plistNew          y                        COLON               
INTEGER        22             INTEGER                  ----                     type                     y                        INTEGER             
----           -1             ----                     ----                     output_plistNew          n                        type                
COMMA          22             COMMA                    ----                     output_plistNew          y                        COMMA               
----           -1             ----                     ----                     output_plistNew          n                        output_plistNew     
ip1001         22             ID                       ----                     output_plistNew          y                        ID                  
COLON          22             COLON                    ----                     output_plistNew          y                        COLON               
BOOLEAN        22             BOOLEAN                  ----                     type                     y                        BOOLEAN             
----           -1             ----                     ----                     output_plistNew          n                        type                
EMPTY          -1             EMPTY                    ----                     output_plistNew          y                        EMPTY               
----           -1             ----                     ----                     output_plistNew          n                        output_plistNew     
SQBC           22             SQBC                     ----                     ret                      y                        SQBC                
SEMICOL        22             SEMICOL                  ----                     ret                      y                        SEMICOL             
START          24             START                    ----                     moduleDef                y                        START               
----           -1             ----                     ----                     module                   n                        moduleDef           
EMPTY          -1             EMPTY                    ----                     statements               y                        EMPTY               
----           -1             ----                     ----                     moduleDef                n                        statements          
END            26             END                      ----                     moduleDef                y                        END                 
----           -1             ----                     ----                     otherModules             n                        otherModules        
EMPTY          -1             EMPTY                    ----                     otherModules             y                        EMPTY               
----           -1             ----                     ----                     otherModules             n                        otherModules        
DRIVERDEF      34             DRIVERDEF                ----                     driverModule             y                        DRIVERDEF           
----           -1             ----                     ----                     program                  n                        driverModule        
DRIVER         34             DRIVER                   ----                     driverModule             y                        DRIVER              
PROGRAM        34             PROGRAM                  ----                     driverModule             y                        PROGRAM             
DRIVERENDDEF   34             DRIVERENDDEF             ----                     driverModule             y                        DRIVERENDDEF        
START          35             START                    ----                     moduleDef                y                        START               
----           -1             ----                     ----                     driverModule             n                        moduleDef           
GET_VALUE      40             GET_VALUE                ----                     ioStmt                   y                        GET_VALUE           
----           -1             ----                     ----                     statement                n                        ioStmt              
BO             40             BO                       ----                     ioStmt                   y                        BO                  
id1            40             ID                       ----                     ioStmt                   y                        ID                  
BC             40             BC                       ----                     ioStmt                   y                        BC                  
SEMICOL        40             SEMICOL                  ----                     ioStmt                   y                        SEMICOL             
----           -1             ----                     ----                     statements               n                        statement           
----           -1             ----                     ----                     moduleDef                n                        statements          
PRINT          41             PRINT                    ----                     ioStmt                   y                        PRINT               
----           -1             ----                     ----                     statement                n                        ioStmt              
BO             41             BO                       ----                     ioStmt                   y                        BO                  
arr1           41             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     var                      n                        var_id_num          
SQBO           41             SQBO                     ----                     whichId                  y                        SQBO                
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           41             NUM                      34                       index                    y                        NUM                 
----           -1             ----                     ----                     whichId                  n                        index               
SQBC           41             SQBC                     ----                     whichId                  y                        SQBC                
----           -1             ----                     ----                     ioStmt                   n                        var                 
BC             41             BC                       ----                     ioStmt                   y                        BC                  
SEMICOL        41             SEMICOL                  ----                     ioStmt                   y                        SEMICOL             
----           -1             ----                     ----                     statements               n                        statement           
----           -1             ----                     ----                     statements               n                        statements          
PRINT          42             PRINT                    ----                     ioStmt                   y                        PRINT               
----           -1             ----                     ----                     statement                n                        ioStmt              
BO             42             BO                       ----                     ioStmt                   y                        BO                  
arr1           42             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     var                      n                        var_id_num          
SQBO           42             SQBO                     ----                     whichId                  y                        SQBO                
----           -1             ----                     ----                     var_id_num               n                        whichId             
arr2           42             ID                       ----                     index                    y                        ID                  
----           -1             ----                     ----                     whichId                  n                        index               
SQBC           42             SQBC                     ----                     whichId                  y                        SQBC                
----           -1             ----                     ----                     ioStmt                   n                        var                 
BC             42             BC                       ----                     ioStmt                   y                        BC                  
SEMICOL        42             SEMICOL                  ----                     ioStmt                   y                        SEMICOL             
----           -1             ----                     ----                     statements               n                        statement           
----           -1             ----                     ----                     statements               n                        statements          
PRINT          43             PRINT                    ----                     ioStmt                   y                        PRINT               
----           -1             ----                     ----                     statement                n                        ioStmt              
BO             43             BO                       ----                     ioStmt                   y                        BO                  
----           43             NUM                      34                       var_id_num               y                        NUM                 
----           -1             ----                     ----                     var                      n                        var_id_num          
----           -1             ----                     ----                     ioStmt                   n                        var                 
BC             43             BC                       ----                     ioStmt                   y                        BC                  
SEMICOL        43             SEMICOL                  ----                     ioStmt                   y                        SEMICOL             
----           -1             ----                     ----                     statements               n                        statement           
----           -1             ----                     ----                     statements               n                        statements          
