Type                Parent              Is Leaf  Terminal/Non-Terminal  Line Number Lexeme                Data Type Operator  Value   Rule Number 
AOB EXPR            ASSIGN              No       n4                     ----        ----                  Integer   PLUS      ----    54          
VARIDNUM            AOB EXPR            No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     31          sum1                  ----      ----      sum1    0           
VARIDNUM            AOB EXPR            No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     31          A                     ----      ----      A       0           
LEAF                VARIDNUM            Yes      ID                     31          k                     ----      ----      k       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     32          sum1                  ----      ----      sum1    0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     34          A                     ----      ----      A       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     35          sum1                  ----      ----      sum1    0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
SIMPLE STMT         STATEMENT           No       simpleStmt             ----        ----                  ----      ----      ----    35          
ASSIGN              SIMPLE STMT         No       assignmentStmt         ----        ----                  ----      ----      ----    37          
LEAF                ASSIGN              Yes      ID                     38          E                     ----      ----      E       0           
LVAL ARR STMT       ASSIGN              No       lvalueARRStmt          ----        ----                  ----      ----      ----    97          
LEAF                LVAL ARR STMT       Yes      NUM                    38          ----                  ----      ----      ----    0           
AOB EXPR            LVAL ARR STMT       No       n4                     ----        ----                  Integer   PLUS      ----    54          
VARIDNUM            AOB EXPR            No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     38          E                     ----      ----      E       0           
LEAF                VARIDNUM            Yes      NUM                    38          ----                  ----      ----      ----    0           
VARIDNUM            AOB EXPR            No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     38          E                     ----      ----      E       0           
LEAF                VARIDNUM            Yes      NUM                    38          ----                  ----      ----      ----    0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     39          E                     ----      ----      E       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
SIMPLE STMT         STATEMENT           No       simpleStmt             ----        ----                  ----      ----      ----    35          
ASSIGN              SIMPLE STMT         No       assignmentStmt         ----        ----                  ----      ----      ----    37          
LEAF                ASSIGN              Yes      ID                     42          sum2                  ----      ----      sum2    0           
LEAF                ASSIGN              Yes      NUM                    42          ----                  ----      ----      ----    0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
SIMPLE STMT         STATEMENT           No       simpleStmt             ----        ----                  ----      ----      ----    35          
ASSIGN              SIMPLE STMT         No       assignmentStmt         ----        ----                  ----      ----      ----    37          
LEAF                ASSIGN              Yes      ID                     43          D                     ----      ----      D       0           
VARIDNUM            ASSIGN              No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     43          B                     ----      ----      B       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     44          D                     ----      ----      D       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
ITER STMT           STATEMENT           No       iterativeStmt          ----        ----                  ----      ----      ----    85          
LEAF                ITER STMT           Yes      ID                     45          i                     ----      ----      i       0           
RANGE ARRAYS        ITER STMT           No       range                  ----        ----                  ----      ----      ----    87          
LEAF                RANGE ARRAYS        Yes      NUM                    45          ----                  ----      ----      ----    0           
LEAF                RANGE ARRAYS        Yes      NUM                    45          ----                  ----      ----      ----    0           
STATEMENT           ITER STMT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     47          D                     ----      ----      D       0           
LEAF                VARIDNUM            Yes      ID                     47          i                     ----      ----      i       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
SIMPLE STMT         STATEMENT           No       simpleStmt             ----        ----                  ----      ----      ----    35          
ASSIGN              SIMPLE STMT         No       assignmentStmt         ----        ----                  ----      ----      ----    37          
LEAF                ASSIGN              Yes      ID                     48          sum2                  ----      ----      sum2    0           
AOB EXPR            ASSIGN              No       n4                     ----        ----                  Integer   PLUS      ----    54          
VARIDNUM            AOB EXPR            No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     48          sum2                  ----      ----      sum2    0           
VARIDNUM            AOB EXPR            No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     48          D                     ----      ----      D       0           
LEAF                VARIDNUM            Yes      ID                     48          i                     ----      ----      i       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     49          sum2                  ----      ----      sum2    0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
